,o,h,l,c,v
2015-10-14 13:05:00,8.57,8.57,8.57,8.57,708900.0
2015-10-14 13:10:00,8.57,8.57,8.57,8.57,183000.0
2015-10-14 13:15:00,8.57,8.57,8.57,8.57,186400.0
2015-10-14 13:20:00,8.57,8.57,8.57,8.57,203000.0
2015-10-14 13:25:00,8.57,8.57,8.57,8.57,442700.0
2015-10-14 13:30:00,8.57,8.57,8.57,8.57,143400.0
2015-10-14 13:35:00,8.57,8.57,8.57,8.57,109900.0
2015-10-14 13:40:00,8.57,8.57,8.57,8.57,402200.0
2015-10-14 13:45:00,8.57,8.57,8.57,8.57,481300.0
2015-10-14 13:50:00,8.57,8.57,8.57,8.57,276500.0
2015-10-14 13:55:00,8.57,8.57,8.57,8.57,132700.0
2015-10-14 14:00:00,8.57,8.57,8.57,8.57,116400.0
2015-10-14 14:05:00,8.57,8.57,8.57,8.57,44400.0
2015-10-14 14:10:00,8.57,8.57,8.57,8.57,134500.0
2015-10-14 14:15:00,8.57,8.57,8.57,8.57,58700.0
2015-10-14 14:20:00,8.57,8.57,8.57,8.57,100400.0
2015-10-14 14:25:00,8.57,8.57,8.57,8.57,200300.0
2015-10-14 14:30:00,8.57,8.57,8.57,8.57,86600.0
2015-10-14 14:35:00,8.57,8.57,8.57,8.57,146600.0
2015-10-14 14:40:00,8.57,8.57,8.57,8.57,919000.0
2015-10-14 14:45:00,8.57,8.57,8.57,8.57,244900.0
2015-10-14 14:50:00,8.57,8.57,8.57,8.57,190100.0
2015-10-14 14:55:00,8.57,8.57,8.57,8.57,250900.0
2015-10-14 15:00:00,8.57,8.57,8.57,8.57,336600.0
2015-10-15 09:35:00,8.7,9.05,8.7,8.96,43647900.0
2015-10-15 09:40:00,8.92,9.23,8.91,9.14,20996600.0
2015-10-15 09:45:00,9.17,9.35,9.13,9.24,9440600.0
2015-10-15 09:50:00,9.26,9.27,9.1,9.13,7173600.0
2015-10-15 09:55:00,9.13,9.18,9.05,9.17,6096200.0
2015-10-15 10:00:00,9.16,9.2,9.02,9.03,4394200.0
2015-10-15 10:05:00,9.02,9.17,9.02,9.12,4133900.0
2015-10-15 10:10:00,9.12,9.43,9.1,9.43,17339200.0
2015-10-15 10:15:00,9.43,9.43,9.43,9.43,1537600.0
2015-10-15 10:20:00,9.43,9.43,9.43,9.43,503700.0
2015-10-15 10:25:00,9.43,9.43,9.43,9.43,396500.0
2015-10-15 10:30:00,9.43,9.43,9.43,9.43,405400.0
2015-10-15 10:35:00,9.43,9.43,9.43,9.43,310600.0
2015-10-15 10:40:00,9.43,9.43,9.43,9.43,148500.0
2015-10-15 10:45:00,9.43,9.43,9.43,9.43,90200.0
2015-10-15 10:50:00,9.43,9.43,9.43,9.43,187300.0
2015-10-15 10:55:00,9.43,9.43,9.43,9.43,127300.0
2015-10-15 11:00:00,9.43,9.43,9.43,9.43,123800.0
2015-10-15 11:05:00,9.43,9.43,9.43,9.43,69900.0
2015-10-15 11:10:00,9.43,9.43,9.43,9.43,106700.0
2015-10-15 11:15:00,9.43,9.43,9.43,9.43,43300.0
2015-10-15 11:20:00,9.43,9.43,9.43,9.43,58500.0
2015-10-15 11:25:00,9.43,9.43,9.43,9.43,68600.0
2015-10-15 11:30:00,9.43,9.43,9.43,9.43,46100.0
2015-10-15 13:05:00,9.43,9.43,9.43,9.43,842200.0
2015-10-15 13:10:00,9.43,9.43,9.43,9.43,97100.0
2015-10-15 13:15:00,9.43,9.43,9.43,9.43,60100.0
2015-10-15 13:20:00,9.43,9.43,9.43,9.43,94800.0
2015-10-15 13:25:00,9.43,9.43,9.43,9.43,272800.0
2015-10-15 13:30:00,9.43,9.43,9.43,9.43,42300.0
2015-10-15 13:35:00,9.43,9.43,9.43,9.43,51100.0
2015-10-15 13:40:00,9.43,9.43,9.43,9.43,244300.0
2015-10-15 13:45:00,9.43,9.43,9.43,9.43,171000.0
2015-10-15 13:50:00,9.43,9.43,9.43,9.43,54700.0
2015-10-15 13:55:00,9.43,9.43,9.43,9.43,60500.0
2015-10-15 14:00:00,9.43,9.43,9.43,9.43,29400.0
2015-10-15 14:05:00,9.43,9.43,9.43,9.43,57900.0
2015-10-15 14:10:00,9.43,9.43,9.43,9.43,65200.0
2015-10-15 14:15:00,9.43,9.43,9.43,9.43,29500.0
2015-10-15 14:20:00,9.43,9.43,9.43,9.43,89400.0
2015-10-15 14:25:00,9.43,9.43,9.43,9.43,45200.0
2015-10-15 14:30:00,9.43,9.43,9.43,9.43,124200.0
2015-10-15 14:35:00,9.43,9.43,9.43,9.43,49200.0
2015-10-15 14:40:00,9.43,9.43,9.43,9.43,37500.0
2015-10-15 14:45:00,9.43,9.43,9.43,9.43,47400.0
2015-10-15 14:50:00,9.43,9.43,9.43,9.43,45400.0
2015-10-15 14:55:00,9.43,9.43,9.43,9.43,94100.0
2015-10-15 15:00:00,9.43,9.43,9.43,9.43,151800.0
2015-10-16 09:35:00,10.1,10.22,9.88,10.22,36510500.0
2015-10-16 09:40:00,10.22,10.37,10.15,10.37,32637400.0
2015-10-16 09:45:00,10.37,10.37,10.37,10.37,1888000.0
2015-10-16 09:50:00,10.37,10.37,10.37,10.37,986100.0
2015-10-16 09:55:00,10.37,10.37,10.37,10.37,536400.0
2015-10-16 10:00:00,10.37,10.37,10.37,10.37,425200.0
2015-10-16 10:05:00,10.37,10.37,10.37,10.37,815800.0
2015-10-16 10:10:00,10.37,10.37,10.37,10.37,515500.0
2015-10-16 10:15:00,10.37,10.37,10.37,10.37,397500.0
2015-10-16 10:20:00,10.37,10.37,10.37,10.37,341500.0
2015-10-16 10:25:00,10.37,10.37,10.37,10.37,264000.0
2015-10-16 10:30:00,10.37,10.37,10.37,10.37,138600.0
2015-10-16 10:35:00,10.37,10.37,10.37,10.37,188700.0
2015-10-16 10:40:00,10.37,10.37,10.37,10.37,194500.0
2015-10-16 10:45:00,10.37,10.37,10.37,10.37,168000.0
2015-10-16 10:50:00,10.37,10.37,10.37,10.37,135600.0
2015-10-16 10:55:00,10.37,10.37,10.37,10.37,213900.0
