,o,h,l,c,v
2015-10-14 13:05:00,10.39,10.41,10.37,10.39,296700.0
2015-10-14 13:10:00,10.39,10.4,10.37,10.38,337000.0
2015-10-14 13:15:00,10.37,10.38,10.32,10.35,553200.0
2015-10-14 13:20:00,10.35,10.35,10.31,10.34,437900.0
2015-10-14 13:25:00,10.35,10.35,10.3,10.34,709200.0
2015-10-14 13:30:00,10.35,10.39,10.32,10.35,224900.0
2015-10-14 13:35:00,10.35,10.37,10.32,10.32,260800.0
2015-10-14 13:40:00,10.32,10.34,10.3,10.3,700000.0
2015-10-14 13:45:00,10.31,10.35,10.31,10.31,251900.0
2015-10-14 13:50:00,10.3,10.31,10.25,10.29,1033500.0
2015-10-14 13:55:00,10.3,10.32,10.29,10.3,168200.0
2015-10-14 14:00:00,10.31,10.35,10.31,10.34,343200.0
2015-10-14 14:05:00,10.34,10.35,10.32,10.33,287500.0
2015-10-14 14:10:00,10.32,10.38,10.31,10.38,462200.0
2015-10-14 14:15:00,10.38,10.39,10.34,10.35,459000.0
2015-10-14 14:20:00,10.35,10.36,10.33,10.33,399000.0
2015-10-14 14:25:00,10.33,10.34,10.3,10.31,557700.0
2015-10-14 14:30:00,10.32,10.34,10.27,10.28,515500.0
2015-10-14 14:35:00,10.27,10.28,10.21,10.21,900600.0
2015-10-14 14:40:00,10.21,10.27,10.16,10.26,1007800.0
2015-10-14 14:45:00,10.25,10.25,10.19,10.22,816000.0
2015-10-14 14:50:00,10.22,10.28,10.22,10.23,541900.0
2015-10-14 14:55:00,10.23,10.23,10.18,10.18,1023400.0
2015-10-14 15:00:00,10.18,10.19,10.17,10.19,773800.0
2015-10-15 09:35:00,10.18,10.27,10.06,10.25,1191500.0
2015-10-15 09:40:00,10.24,10.28,10.19,10.28,684900.0
2015-10-15 09:45:00,10.29,10.35,10.27,10.27,870000.0
2015-10-15 09:50:00,10.29,10.3,10.25,10.29,461600.0
2015-10-15 09:55:00,10.29,10.29,10.26,10.28,496600.0
2015-10-15 10:00:00,10.28,10.28,10.19,10.19,615100.0
2015-10-15 10:05:00,10.19,10.26,10.18,10.21,405900.0
2015-10-15 10:10:00,10.23,10.27,10.21,10.27,247900.0
2015-10-15 10:15:00,10.28,10.29,10.25,10.25,204700.0
2015-10-15 10:20:00,10.25,10.31,10.24,10.3,482000.0
2015-10-15 10:25:00,10.3,10.31,10.26,10.3,422900.0
