变动日期,变动后流通A股(股),code
2019-06-30,171.70亿,000001
2018-05-18,169.18亿,000001
2016-06-30,146.31亿,000001
2016-05-23,121.93亿,000001
2016-05-20,118.04亿,000001
2020-06-30,97.14亿,000002
2020-06-11,97.15亿,000002
2017-06-30,97.09亿,000002
2016-06-30,97.08亿,000002
2016-01-13,97.18亿,000002
2015-12-31,97.21亿,000002
2015-11-30,97.20亿,000002
2015-09-30,97.19亿,000002
2015-07-31,97.18亿,000002
2015-05-31,97.16亿,000002
2015-03-31,97.15亿,000002
2015-01-31,97.10亿,000002
2020-06-30,8391.87万,000004
2020-01-13,8392.07万,000004
2019-06-30,8260.46万,000004
2018-12-31,8293.36万,000004
2018-02-07,8301.32万,000004
2017-12-31,8296.37万,000004
2016-06-30,8296.14万,000004
2015-12-31,8296.19万,000004
2019-01-02,10.58亿,000005
2017-01-03,9.51亿,000005
2015-12-31,9.14亿,000005
2019-06-30,13.48亿,000006
2017-06-30,13.45亿,000006
2015-12-31,13.40亿,000006
2015-06-30,13.41亿,000006
2020-06-30,3.09亿,000007
2016-06-30,2.06亿,000007
2020-06-30,26.65亿,000008
2019-12-31,26.28亿,000008
2019-06-30,25.94亿,000008
2019-03-29,25.87亿,000008
2019-03-21,25.99亿,000008
2019-01-08,25.58亿,000008
2018-12-31,25.57亿,000008
2018-10-15,25.43亿,000008
2018-10-12,25.40亿,000008
2018-03-21,25.58亿,000008
2018-03-17,25.37亿,000008
2018-02-28,26.39亿,000008
2018-02-27,19.98亿,000008
2017-12-31,20.09亿,000008
2017-12-28,20.11亿,000008
2017-12-26,19.91亿,000008
2017-10-24,19.89亿,000008
2017-07-07,20.04亿,000008
2017-06-30,19.99亿,000008
2017-03-21,20.10亿,000008
2017-03-17,19.83亿,000008
2017-02-06,19.95亿,000008
2017-01-25,14.98亿,000008
2016-12-28,14.95亿,000008
2016-03-21,14.98亿,000008
2016-02-05,13.21亿,000008
2016-01-08,13.20亿,000008
2016-01-07,6.40亿,000008
2015-09-24,6.41亿,000008
2015-09-18,2.14亿,000008
2015-03-06,1.47亿,000008
2020-08-21,25.52亿,000009
2020-08-20,25.44亿,000009
2019-06-30,21.20亿,000009
2016-07-08,15.70亿,000009
2016-07-07,15.55亿,000009
2016-03-03,14.90亿,000009
2019-12-31,5.22亿,000010
2016-12-31,4.08亿,000010
2020-04-30,5.26亿,000011
2017-06-30,1.76亿,000011
2020-06-16,19.57亿,000012
2019-12-31,19.58亿,000012
2019-09-21,19.54亿,000012
2019-06-18,17.76亿,000012
2018-12-31,17.77亿,000012
2018-12-21,17.75亿,000012
2018-12-19,17.36亿,000012
2017-12-25,15.09亿,000012
2017-06-30,13.13亿,000012
2016-12-31,13.00亿,000012
2016-06-30,13.04亿,000012
2015-06-30,13.03亿,000012
2017-06-30,15.97亿,000016
2016-02-27,12.00亿,000016
2015-06-30,6.00亿,000016
2018-06-30,3.03亿,000017
2020-06-30,4.16亿,000019
2016-12-31,3.78亿,000019
2015-12-31,2.52亿,000019
2020-06-30,1.81亿,000020
2020-06-30,14.69亿,000021
2016-12-31,14.70亿,000021
2019-05-20,3.93亿,000025
2018-04-19,2.71亿,000025
2016-08-15,1.94亿,000025
2015-03-27,1.79亿,000025
2020-09-14,3.57亿,000026
2016-01-14,3.11亿,000026
2020-06-11,47.57亿,000027
2016-02-25,39.64亿,000027
2015-06-25,14.38亿,000027
2020-06-30,3.68亿,000028
2020-01-03,3.08亿,000028
2017-01-04,2.33亿,000028
2019-06-30,17.60亿,000030
2018-12-31,17.57亿,000030
2018-09-30,17.51亿,000030
2018-06-30,12.50亿,000030
2017-06-30,12.52亿,000030
2016-12-31,12.46亿,000030
2016-03-30,12.47亿,000030
2016-03-29,5.62亿,000030
2015-12-31,5.61亿,000030
2020-06-30,18.14亿,000031
2020-06-30,4.11亿,000032
2018-12-27,2.79亿,000032
2015-12-31,2.33亿,000032
2020-08-28,4.96亿,000034
2020-07-20,4.92亿,000034
2020-07-08,4.91亿,000034
2019-12-31,4.81亿,000034
2019-07-05,4.85亿,000034
2019-06-30,4.89亿,000034
2019-03-06,4.05亿,000034
2019-03-05,3.58亿,000034
2016-08-29,3.40亿,000034
2020-06-30,23.68亿,000035
2020-01-22,12.81亿,000035
2018-07-26,11.68亿,000035
2017-05-31,12.39亿,000035
2017-05-26,8.12亿,000035
2016-05-21,4.06亿,000035
2015-09-25,4.04亿,000035
2015-09-22,3.51亿,000035
2015-06-03,3.54亿,000035
2015-06-02,1.89亿,000035
2020-06-30,14.79亿,000036
2019-06-30,14.75亿,000036
2019-06-24,11.35亿,000036
2018-07-05,11.36亿,000036
2018-06-15,11.33亿,000036
2017-12-31,11.35亿,000036
2017-05-23,11.28亿,000036
2016-07-12,11.29亿,000036
2016-07-05,11.24亿,000036
2019-12-31,3.39亿,000037
2020-06-30,2.38亿,000038
2019-12-31,2.32亿,000038
2019-11-08,2.29亿,000038
2019-06-30,2.10亿,000038
2019-03-15,1.95亿,000038
2019-03-14,1.78亿,000038
2018-07-17,1.80亿,000038
2018-07-14,1.06亿,000038
2018-06-05,1.18亿,000038
2018-04-10,9732.26万,000038
2018-04-09,8052.92万,000038
