0,1,2,3
0.0,1.8,2021-05-14,000001
0.0,2.18,2020-05-28,000001
0.0,1.45,2019-06-26,000001
0.0,1.36,2018-07-12,000001
0.0,1.58,2017-07-21,000001
2.0,1.53,2016-06-16,000001
2.0,1.74,2015-04-13,000001
2.0,1.6,2014-06-12,000001
6.0,1.7,2013-06-20,000001
0.0,1.0,2012-10-19,000001
3.0,0.335,2008-10-31,000001
1.0,0.09,2007-06-18,000001
0.0,1.5,2003-09-29,000001
0.0,1.5,2002-07-23,000001
0.0,6.0,1999-10-18,000001
5.0,2.0,1997-08-25,000001
10.0,0.0,1996-05-27,000001
2.0,3.0,1995-09-25,000001
5.0,5.0,1994-07-11,000001
0.0,12.5,2021-08-25,000002
0.0,10.16613,2020-08-14,000002
0.0,10.45102,2019-08-15,000002
0.0,9.0,2018-08-23,000002
0.0,7.9,2017-08-29,000002
0.0,7.2,2016-07-29,000002
0.0,5.0,2015-07-21,000002
0.0,4.1,2014-05-08,000002
0.0,1.8,2013-05-16,000002
0.0,1.3,2012-07-05,000002
0.0,1.0,2011-05-27,000002
0.0,0.7,2010-05-18,000002
0.0,0.5,2009-06-08,000002
6.0,1.0,2008-06-16,000002
5.0,1.5,2007-05-16,000002
0.0,1.5,2006-07-21,000002
5.0,1.5,2005-06-29,000002
5.0,0.5,2004-05-26,000002
10.0,2.0,2003-05-23,000002
0.0,2.0,2002-07-17,000002
0.0,1.8,2001-08-21,000002
0.0,1.5,2000-08-17,000002
1.0,1.0,1999-08-06,000002
1.0,1.5,1998-07-10,000002
1.5,1.0,1997-06-27,000002
1.0,1.4,1996-08-06,000002
1.5,1.5,1995-07-04,000002
2.426,1.04,1994-06-21,000002
2.0,0.0,1992-03-20,000002
2.0,0.0,1991-06-08,000002
0.0,0.3,2003-06-19,000004
0.0,0.5,2002-06-24,000004
1.0,0.6,1995-08-30,000004
2.0,0.0,1991-06-28,000004
5.5,0.0,2006-07-31,000005
0.87438,0.11367,2001-07-16,000005
1.0,0.25,2000-08-31,000005
5.0,0.0,1998-08-21,000005
3.0,0.0,1997-08-25,000005
1.5,0.0,1996-08-13,000005
1.0,0.0,1995-07-26,000005
0.0,1.93,2021-06-23,000006
0.0,1.79,2020-06-18,000006
0.0,1.95,2019-06-19,000006
0.0,1.81,2018-06-22,000006
0.0,1.8,2017-06-16,000006
0.0,1.2,2016-06-17,000006
0.0,1.18,2015-06-19,000006
0.0,1.55,2014-06-09,000006
0.5,1.0,2013-06-20,000006
3.0,0.4,2012-07-11,000006
3.0,0.6,2011-06-14,000006
5.0,1.2,2010-05-13,000006
0.0,0.8,2009-06-26,000006
10.0,1.0,2008-04-29,000006
0.0,3.5,2007-05-29,000006
0.0,1.8,2006-06-28,000006
0.0,0.75,2005-06-30,000006
0.0,0.8,2003-07-24,000006
0.0,1.3,2002-08-19,000006
0.0,2.0,2001-08-29,000006
0.0,1.0,2000-07-21,000006
0.0,2.0,1999-07-21,000006
1.0,2.0,1998-07-30,000006
3.076,0.769,1997-07-09,000006
0.0,2.0,1996-07-29,000006
6.0,2.0,1994-06-27,000006
3.0,0.0,1993-06-07,000006
5.0,0.0,2017-05-22,000007
5.2,0.0,2006-08-14,000007
9.5,0.0,1997-07-03,000007
0.0,0.3,1996-09-02,000007
0.0,2.0,1995-08-02,000007
4.0,1.0,1994-06-30,000007
0.0,0.1,2020-05-29,000008
0.0,0.1,2019-06-28,000008
0.0,0.5,2018-06-07,000008
0.0,0.1,2017-06-02,000008
20.0,0.0,2015-09-24,000008
4.5,0.0,2015-03-13,000008
10.0,0.0,2013-05-28,000008
3.0,0.0,1996-09-05,000008
3.0,0.5,1994-06-16,000008
0.0,0.3,2021-08-26,000009
0.0,0.2,2020-08-13,000009
2.0,0.2,2019-07-22,000009
0.0,0.2,2018-07-27,000009
0.0,0.2,2017-08-16,000009
3.5,0.7,2016-07-21,000009
0.0,0.2,2015-08-06,000009
2.0,0.3,2014-07-09,000009
1.5,0.3,2013-07-26,000009
0.0,0.2,2011-08-03,000009
0.0,0.35,2010-08-27,000009
0.5,0.3,2009-08-06,000009
1.37996,0.0,2008-05-16,000009
0.0,0.2,1997-08-07,000009
0.5,0.3,1996-08-07,000009
2.5,1.0,1995-07-21,000009
7.0,1.22,1994-06-16,000009
10.0,0.0,1999-05-31,000010
0.0,1.5,1997-07-25,000010
1.2,0.8,1996-07-22,000010
0.0,4.1,2021-04-30,000011
0.0,3.6,2020-05-18,000011
0.0,3.0,2019-05-16,000011
0.0,3.0,2018-06-29,000011
0.0,1.8,2017-05-26,000011
0.0,0.8,2016-05-24,000011
0.0,2.2,2015-06-09,000011
0.0,2.5,2014-06-20,000011
1.0,0.112,2009-11-23,000011
1.0,1.0,1996-08-20,000011
1.0,1.5,1995-08-24,000011
0.0,1.0,2021-06-17,000012
0.0,0.7,2020-07-01,000012
1.0,0.5,2019-06-26,000012
1.5,0.5,2018-06-27,000012
1.5,1.0,2017-07-19,000012
0.0,3.0,2016-05-19,000012
0.0,5.0,2015-05-08,000012
0.0,3.0,2014-05-08,000012
0.0,1.5,2013-05-30,000012
0.0,1.8,2012-05-25,000012
0.0,3.5,2011-06-03,000012
7.0,3.5,2010-05-14,000012
0.0,1.0,2009-07-03,000012
0.0,1.5,2008-06-10,000012
0.0,4.5,2007-06-19,000012
0.0,1.8,2006-06-16,000012
