,代码,名称
0,430017,星昊医药
1,430047,诺思兰德
2,430090,同辉信息
3,430139,华岭股份
4,430198,微创光电
5,430300,辰光医疗
6,430418,苏轴股份
7,430425,乐创技术
8,430476,海能技术
9,430478,峆一药业
10,430489,佳先股份
11,430510,丰光精密
12,430556,雅达股份
13,430564,天润科技
14,430685,新芝生物
15,430718,合肥高科
16,830779,武汉蓝电
17,830799,艾融软件
18,830809,安达科技
19,830832,齐鲁华信
20,830839,万通液压
21,830879,基康仪器
22,830896,旺成科技
23,830946,森萱医药
24,830964,润农节水
25,830974,凯大催化
26,831010,凯添燃气
27,831039,国义招标
28,831087,秋乐种业
29,831152,昆工科技
30,831167,鑫汇科
31,831175,派诺科技
32,831195,三祥科技
33,831278,泰德股份
34,831304,迪尔化工
35,831305,海希通讯
36,831370,新安洁
37,831396,许昌智能
38,831445,龙竹科技
39,831526,凯华材料
40,831627,力王股份
41,831641,格利尔
42,831689,克莱特
43,831726,朱老六
44,831768,拾比佰
45,831832,科达自控
46,831834,三维股份
47,831855,浙江大农
48,831856,浩淼科技
49,831906,舜宇精工
50,831961,创远信科
51,832000,安徽凤凰
52,832023,田野股份
53,832089,禾昌聚合
54,832110,雷特科技
55,832145,恒合股份
56,832149,利尔达
57,832171,志晟信息
58,832175,东方碳素
59,832225,利通科技
60,832278,鹿得医疗
61,832419,路斯股份
62,832469,富恒新材
63,832471,美邦科技
64,832491,奥迪威
65,832522,纳科诺尔
66,832566,梓橦宫
67,832651,天罡股份
68,832662,方盛股份
69,832735,德源药业
70,832786,骑士乳业
71,832802,保丽洁
72,832876,慧为智能
73,832885,星辰科技
74,832978,开特股份
75,832982,锦波生物
76,833030,立方控股
77,833075,柏星龙
78,833171,国航远洋
79,833230,欧康医药
80,833266,生物谷
81,833284,灵鸽科技
82,833346,威贸电子
83,833394,民士达
84,833427,华维设计
85,833429,康比特
86,833454,同心传动
87,833455,汇隆活塞
88,833509,同惠电子
89,833523,德瑞锂电
90,833533,骏创科技
91,833575,康乐卫士
92,833580,科创新材
93,833751,惠同新材
94,833781,瑞奇智造
95,833819,颖泰生物
96,833873,中设咨询
97,833914,远航精密
98,833943,优机股份
99,834014,特瑞斯
100,834021,流金科技
101,834033,康普化学
102,834058,华洋赛车
103,834062,科润智控
104,834261,一诺威
105,834407,驰诚股份
106,834415,恒拓开源
107,834475,三友科技
108,834599,同力股份
109,834639,晨光电缆
110,834682,球冠电缆
111,834765,美之高
112,834770,艾能聚
113,834950,迅安科技
114,835174,五新隧装
115,835179,凯德石英
116,835184,国源科技
117,835185,贝特瑞
118,835207,众诚科技
119,835237,力佳科技
120,835305,云创数据
121,835368,连城数控
122,835508,殷图网联
123,835579,机科股份
124,835640,富士达
125,835670,数字人
126,835857,百甲科技
127,835892,中科美菱
128,835985,海泰新能
129,836077,吉林碳谷
130,836149,旭杰科技
131,836208,青矩技术
132,836221,易实精密
133,836239,长虹能源
134,836247,华密新材
135,836260,中寰股份
136,836263,中航泰达
137,836270,天铭科技
138,836395,朗鸿科技
139,836414,欧普泰
140,836419,万德股份
141,836422,润普食品
142,836433,大唐药业
143,836504,博迅生物
144,836547,无锡晶海
145,836675,秉扬科技
146,836699,海达尔
147,836717,瑞星股份
148,836720,吉冈精密
149,836807,奔朗新材
150,836826,盖世食品
151,836871,派特尔
152,836892,广咨国际
153,836942,恒立钻具
154,836957,汉维科技
155,836961,西磁科技
156,837006,晟楠科技
157,837046,亿能电力
158,837092,汉鑫科技
159,837174,宏裕包材
160,837212,智新电子
161,837242,建邦科技
162,837344,三元基因
163,837403,康农种业
164,837592,华信永道
165,837663,明阳科技
166,837748,路桥信息
167,837821,则成电子
168,838030,德众汽车
169,838163,方大新材
170,838171,邦德股份
171,838227,美登科技
172,838262,太湖雪
173,838275,驱动力
174,838402,硅烷科技
175,838670,恒进感应
176,838701,豪声电子
177,838810,春光药装
178,838837,华原股份
179,838924,广脉科技
180,838971,天马新材
181,839167,同享科技
182,839273,一致魔芋
183,839371,欧福蛋业
184,839493,并行科技
185,839680,广道数字
186,839719,宁新新材
187,839725,惠丰钻石
188,839729,永顺生物
189,839790,联迪信息
190,839792,东和新材
191,839946,华阳变速
192,870199,倍益康
193,870204,沪江材料
194,870299,灿能电力
195,870357,雅葆轩
196,870436,大地电气
197,870508,丰安股份
198,870656,海昇药业
199,870726,鸿智科技
200,870866,绿亨科技
201,870976,视声智能
202,871245,威博液压
203,871263,莱赛激光
204,871396,常辅股份
205,871478,巨能股份
206,871553,凯腾精工
207,871634,新威凌
208,871642,通易航天
209,871694,中裕科技
210,871753,天纺标
211,871857,泓禧科技
212,871970,大禹生物
213,871981,晶赛科技
214,872190,雷神科技
215,872351,华光源海
216,872374,云里物里
217,872392,佳合科技
218,872541,铁大科技
219,872808,曙光数创
220,872895,花溪科技
221,872925,锦好医疗
222,872953,国子软件
223,873001,纬达光电
224,873122,中纺标
225,873132,泰鹏智能
226,873152,天宏锂电
227,873167,新赣江
228,873169,七丰精工
229,873223,荣亿精密
230,873305,九菱科技
231,873339,恒太照明
232,873527,夜光明
233,873570,坤博精工
234,873576,天力复合
235,873593,鼎智科技
236,873665,科强股份
237,873679,前进科技
238,873690,捷众科技
239,873693,阿为特
240,873703,广厦环能
241,873726,卓兆点胶
242,873806,云星宇
243,873833,美心翼申
