,代码,名称
0,00001,长和
1,00002,中电控股
2,00003,香港中华煤气
3,00004,九龙仓集团
4,00005,汇丰控股
5,00006,电能实业
6,00008,电讯盈科
7,00010,恒隆集团
8,00011,恒生银行
9,00012,恒基地产
10,00013,和黄医药
11,00014,希慎兴业
12,00016,新鸿基地产
13,00017,新世界发展
14,00019,太古股份公司Ａ
15,00020,商汤－Ｗ
16,00023,东亚银行
17,00027,银河娱乐
18,00035,远东发展
19,00038,第一拖拉机股份
20,00041,鹰君
21,00042,东北电气
22,00045,大酒店
23,00059,天誉置业
24,00066,港铁公司
25,00069,香格里拉（亚洲）
26,00081,中国海外宏洋集团
27,00083,信和置业
28,00086,新鸿基公司
29,00087,太古股份公司Ｂ
30,00095,绿景中国地产
31,00101,恒隆地产
32,00107,四川成渝高速公路
33,00116,周生生
34,00119,保利置业集团
35,00120,COSMOPOL INT'L
36,00123,越秀地产
37,00124,粤海置地
38,00127,华人置业
39,00135,昆仑能源
40,00136,中国儒意
41,00142,第一太平
42,00144,招商局港口
43,00148,建滔集团
44,00151,中国旺旺
45,00152,深圳国际
46,00165,中国光大控股
47,00168,青岛啤酒股份
48,00173,嘉华国际
49,00175,吉利汽车
50,00177,江苏宁沪高速公路
51,00178,莎莎国际
52,00179,德昌电机控股
53,00185,正商实业
54,00187,京城机电股份
55,00189,东岳集团
56,00200,新濠国际发展
57,00207,大悦城地产
58,00215,和记电讯香港
59,00220,统一企业中国
60,00241,阿里健康
61,00242,信德集团
62,00245,中薇金融
63,00256,冠城钟表珠宝
64,00257,光大环境
65,00267,中信股份
66,00268,金蝶国际
67,00270,粤海投资
68,00272,瑞安房地产
69,00279,裕承科金
70,00285,比亚迪电子
71,00288,万洲国际
72,00291,华润啤酒
73,00293,国泰航空
74,00295,江山控股
75,00296,英皇娱乐酒店
76,00297,中化化肥
77,00299,宝新置地
78,00300,美的集团
79,00302,中手游
80,00303,VTECH HOLDINGS
81,00308,香港中旅
82,00314,思派健康
83,00315,数码通电讯
84,00316,东方海外国际
85,00317,中船防务
86,00321,德永佳集团
87,00322,康师傅控股
88,00323,马鞍山钢铁股份
89,00327,百富环球
90,00330,思捷环球
91,00336,华宝国际
92,00337,绿地香港
93,00338,上海石油化工股份
94,00341,大家乐集团
95,00345,VITASOY INT'L
96,00347,鞍钢股份
97,00354,中国软件国际
98,00358,江西铜业股份
99,00363,上海实业控股
100,00371,北控水务集团
101,00384,中国燃气
102,00386,中国石油化工股份
103,00388,香港交易所
104,00390,中国中铁
105,00392,北京控股
106,00400,硬蛋创新
107,00405,越秀房产信托基金
108,00410,ＳＯＨＯ中国
109,00412,山高控股
110,00419,弘毅文化集团
111,00425,敏实集团
112,00432,盈大地产
113,00439,光启科学
114,00440,大新金融
115,00451,协鑫新能源
116,00460,四环医药
117,00467,联合能源集团
118,00468,纷美包装
119,00480,香港兴业国际
120,00488,丽新发展
121,00489,东风集团股份
122,00493,国美零售
123,00496,卡森国际
124,00506,中国食品
125,00508,鼎亿集团投资
126,00511,电视广播
127,00512,远大医药
128,00517,中远海运国际
129,00520,呷哺呷哺
130,00522,ASMPT
131,00525,广深铁路股份
132,00535,金地商置
133,00546,阜丰集团
134,00547,数字王国
135,00548,深圳高速公路股份
136,00551,裕元集团
137,00552,中国通信服务
138,00553,南京熊猫电子股份
139,00558,力劲科技
140,00563,上实城市开发
141,00564,郑煤机
142,00568,山东墨龙
143,00570,中国中药
144,00576,浙江沪杭甬
145,00579,京能清洁能源
146,00581,中国东方集团
147,00582,神话世界
148,00586,海螺创业
149,00587,海螺环保
150,00588,北京北辰实业股份
151,00590,六福集团
152,00598,中国外运
153,00604,深圳控股
154,00607,丰盛控股
155,00612,鼎益丰控股
156,00631,三一国际
157,00636,嘉里物流
158,00639,首钢资源
159,00650,普达特科技
160,00656,复星国际
161,00658,中国高速传动
162,00659,周大福创建
163,00666,瑞浦兰钧
164,00667,中国东方教育
165,00669,创科实业
166,00670,中国东方航空股份
167,00683,嘉里建设
168,00686,北京能源国际
169,00687,泰升集团
170,00688,中国海外发展
171,00691,山水水泥
172,00694,北京首都机场股份
173,00696,中国民航信息网络
174,00697,首程控股
175,00698,通达集团
176,00700,腾讯控股
177,00709,佐丹奴国际
178,00710,京东方精电
179,00715,中泛控股
180,00718,太和控股
181,00719,山东新华制药股份
182,00721,中国金融国际
183,00728,中国电信
184,00732,信利国际
185,00737,湾区发展
186,00743,亚洲水泥（中国）
187,00751,创维集团
188,00753,中国国航
189,00754,合生创展集团
190,00762,中国联通
191,00763,中兴通讯
192,00772,阅文集团
193,00775,长江生命科技
194,00777,网龙
195,00780,同程旅行
196,00788,中国铁塔（新）
197,00799,IGG
198,00806,惠理集团
199,00811,新华文轩
200,00813,世茂集团
201,00816,金茂服务
202,00817,中国金茂
203,00819,天能动力
204,00826,天工国际
205,00829,神冠控股
206,00832,建业地产
207,00836,华润电力
208,00839,中教控股
209,00845,恒盛地产
210,00846,明发集团
211,00853,微创医疗
212,00855,中国水务
213,00856,伟仕佳杰
214,00857,中国石油股份
215,00860,ＡＰＯＬＬＯ出行
216,00861,神州控股
217,00867,康哲药业
218,00868,信义玻璃
219,00873,世茂服务
220,00874,白云山
221,00880,澳博控股
222,00881,中升控股
223,00883,中国海洋石油
224,00884,旭辉控股集团
225,00895,东江环保
226,00902,华能国际电力股份
227,00906,中粮包装
228,00909,明源云
229,00911,前海健康
230,00914,海螺水泥
231,00916,龙源电力
232,00917,趣致集团
233,00921,海信家电
234,00931,中国港能
235,00933,非凡领越
236,00934,中石化冠德
237,00939,建设银行
238,00941,中国移动
239,00950,李氏大药厂
240,00951,超威动力
241,00956,新天绿色能源
242,00960,龙湖集团
243,00966,中国太平
244,00968,信义光能
245,00975,MONGOL MINING
246,00976,齐合环保
247,00978,招商局置地
248,00981,中芯国际
249,00989,华音国际控股
250,00990,荣晖国际
251,00991,大唐发电
252,00992,联想集团
253,00995,安徽皖通高速公路
254,00998,中信银行
255,01024,快手－Ｗ
256,01028,千百度
257,01030,新城发展
258,01033,中石化油服
259,01038,长江基建集团
260,01044,恒安国际
261,01052,越秀交通基建
262,01053,重庆钢铁股份
263,01055,中国南方航空股份
264,01057,浙江世宝
265,01060,阿里影业
266,01065,天津创业环保股份
267,01066,威高股份
268,01068,雨润食品
269,01070,ＴＣＬ电子
270,01071,华电国际电力股份
271,01072,东方电气
272,01083,港华智慧能源
273,01086,好孩子国际
274,01088,中国神华
275,01093,石药集团
276,01097,有线宽频
277,01098,路劲
278,01099,国药控股
279,01108,凯盛新能
280,01109,华润置地
281,01112,Ｈ＆Ｈ国际控股
282,01113,长实集团
283,01114,BRILLIANCE CHI
284,01115,西藏水资源
285,01117,现代牧业
286,01119,创梦天地
287,01121,金阳新能源
288,01128,永利澳门
289,01137,香港科技探索
290,01138,中远海能
291,01140,华科智能投资
292,01141,民银资本
293,01157,中联重科
294,01164,中广核矿业
295,01165,顺风清洁能源
296,01167,加科思－Ｂ
297,01171,兖矿能源
298,01176,珠光控股
299,01177,中国生物制药
300,01186,中国铁建
301,01188,正道集团
302,01193,华润燃气
303,01196,伟禄集团
304,01199,中远海运港口
305,01205,中信资源
306,01208,五矿资源
307,01209,华润万象生活
308,01211,比亚迪股份
309,01233,时代中国控股
310,01234,中国利郎
311,01238,宝龙地产
312,01244,思路迪医药股份
313,01250,山高新能源
314,01253,中国绿地博大绿泽
315,01257,中国光大绿色环保
316,01258,中国有色矿业
317,01268,美东汽车
318,01269,首控集团
319,01274,知行汽车科技
320,01277,力量发展
321,01282,中泽丰
322,01286,鹰普精密
323,01288,农业银行
324,01293,广汇宝信
325,01299,友邦保险
326,01302,先健科技
327,01308,海丰国际
328,01310,香港宽频
329,01313,华润建材科技
330,01315,绿色经济
331,01316,耐世特
332,01317,枫叶教育
333,01330,绿色动力环保
334,01336,新华保险
335,01339,中国人民保险集团
336,01341,昊天国际建投
337,01347,华虹半导体
338,01349,复旦张江
339,01357,美图公司
340,01359,中国信达
341,01361,３６１度
342,01368,特步国际
343,01375,中州证券
344,01378,中国宏桥
345,01381,粤丰环保
346,01382,互太纺织
347,01383,LET GROUP
348,01385,上海复旦
349,01398,工商银行
350,01405,达势股份
351,01415,高伟电子
352,01432,中国圣牧
353,01448,福寿园
354,01456,国联证券
355,01458,周黑鸭
356,01468,京基金融国际
357,01475,日清食品
358,01477,欧康维视生物－Ｂ
359,01478,丘钛科技
360,01508,中国再保险
361,01513,丽珠医药
362,01515,华润医疗
363,01516,融创服务
364,01519,极兔速递－Ｗ
365,01521,方达控股
366,01528,红星美凯龙
367,01530,三生制药
368,01541,宜明昂科－Ｂ
369,01548,金斯瑞生物科技
370,01551,广州农商银行
371,01558,东阳光长江药业
372,01563,友联国际教育租赁
373,01569,民生教育
374,01578,天津银行
375,01579,颐海国际
376,01583,亲亲食品
377,01585,雅迪控股
378,01600,天伦燃气
379,01606,国银金租
380,01608,伟能集团
381,01610,中粮家佳康
382,01618,中国中冶
383,01622,力高集团
384,01628,禹洲集团
385,01635,大众公用
386,01636,中国金属利用
387,01638,佳兆业集团
388,01658,邮储银行
389,01661,中国前沿科技集团
390,01666,同仁堂科技
391,01668,华南城
